Momentum: Eta=0.01, Lambda=0
  [=======================================>] 100.0%          8818513 function calls (8383423 primitive calls) in 9.911 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
150000/30000    0.123    0.000    0.619    0.000 numpy_wrapper.py:55(array)
   120000    0.032    0.000    0.103    0.000 numpy_wrapper.py:71(_array_from_scalar_or_array)
    30000    0.008    0.000    0.070    0.000 numpy_wrapper.py:75(array_from_args)
       60    0.004    0.000    0.004    0.000 schedulers.py:37(update_change)
       60    0.000    0.000    0.000    0.000 schedulers.py:41(reset)
      120    0.000    0.000    0.000    0.000 shape_base.py:19(_atleast_1d_dispatcher)
      120    0.000    0.000    0.000    0.000 shape_base.py:23(atleast_1d)
       60    0.000    0.000    0.000    0.000 shape_base.py:77(_atleast_2d_dispatcher)
       60    0.000    0.000    0.000    0.000 shape_base.py:81(atleast_2d)
       53    0.001    0.000    0.001    0.000 socket.py:474(send)
   270000    2.891    0.000    3.028    0.000 src.py:258(deriv_4tho)
    90000    0.462    0.000    0.514    0.000 src.py:480(deriv_cent)
       65    0.000    0.000    0.000    0.000 threading.py:1059(_wait_for_tstate_lock)
       65    0.000    0.000    0.000    0.000 threading.py:1113(is_alive)
       12    0.000    0.000    0.000    0.000 threading.py:228(__init__)
       12    0.000    0.000    0.000    0.000 threading.py:256(__enter__)
       12    0.000    0.000    0.000    0.000 threading.py:259(__exit__)
       12    0.000    0.000    0.000    0.000 threading.py:265(_release_save)
       12    0.000    0.000    0.000    0.000 threading.py:268(_acquire_restore)
       12    0.000    0.000    0.000    0.000 threading.py:271(_is_owned)
       12    0.000    0.000    0.003    0.000 threading.py:280(wait)
       12    0.000    0.000    0.000    0.000 threading.py:521(__init__)
       65    0.000    0.000    0.000    0.000 threading.py:529(is_set)
       12    0.000    0.000    0.004    0.000 threading.py:556(wait)
    15130    0.006    0.000    0.009    0.000 tracer.py:116(new_box)
   781159    0.086    0.000    0.086    0.000 tracer.py:123(<lambda>)
   150120    0.029    0.000    0.048    0.000 tracer.py:124(<lambda>)
       40    0.000    0.000    0.000    0.000 tracer.py:25(new_root)
210699/195609    0.191    0.000    0.707    0.000 tracer.py:35(f_wrapped)
    15090    0.003    0.000    0.003    0.000 tracer.py:39(<listcomp>)
    30180    0.005    0.000    0.005    0.000 tracer.py:42(<genexpr>)
    30180    0.003    0.000    0.003    0.000 tracer.py:43(<genexpr>)
   150120    0.061    0.000    0.110    0.000 tracer.py:58(f_wrapped)
   210699    0.126    0.000    0.193    0.000 tracer.py:65(find_top_boxed_args)
       40    0.000    0.000    4.827    0.121 tracer.py:7(trace)
       80    0.000    0.000    0.000    0.000 tracer.py:83(new_trace)
    15130    0.003    0.000    0.003    0.000 tracer.py:95(__init__)
      150    0.000    0.000    0.000    0.000 type_check.py:206(_is_type_dispatcher)
      150    0.000    0.000    0.000    0.000 type_check.py:303(iscomplexobj)
      150    0.000    0.000    0.000    0.000 util.py:20(toposort)
    15130    0.005    0.000    0.005    0.000 util.py:4(subvals)
        2    0.000    0.000    0.000    0.000 validation.py:244(_num_samples)
        1    0.000    0.000    0.000    0.000 validation.py:305(check_consistent_length)
        1    0.000    0.000    0.000    0.000 validation.py:316(<listcomp>)
        1    0.000    0.000    0.000    0.000 validation.py:926(check_random_state)
        2    0.000    0.000    0.000    0.000 version.py:271(__init__)
        6    0.000    0.000    0.000    0.000 version.py:282(<genexpr>)
        6    0.000    0.000    0.000    0.000 version.py:420(_parse_letter_version)
        2    0.000    0.000    0.000    0.000 version.py:461(_parse_local_version)
        2    0.000    0.000    0.000    0.000 version.py:474(_cmpkey)
        2    0.000    0.000    0.000    0.000 version.py:490(<lambda>)
        2    0.000    0.000    0.000    0.000 version.py:74(__lt__)
        2    0.000    0.000    0.000    0.000 version.py:76(<lambda>)
        2    0.000    0.000    0.000    0.000 version.py:98(_compare)
       70    0.000    0.000    0.000    0.000 wrap_util.py:24(wraps)
       70    0.000    0.000    0.001    0.000 wrap_util.py:25(_wraps)
       30    0.000    0.000    0.000    0.000 wrap_util.py:33(wrap_nary_f)
       30    0.000    0.000    0.000    0.000 wrap_util.py:4(nary_operator)
      170    0.000    0.000    0.000    0.000 wrap_util.py:41(<lambda>)
       70    0.000    0.000    0.000    0.000 wrap_util.py:42(<lambda>)
       40    0.000    0.000    4.857    0.121 wrap_util.py:7(nary_f)
       40    0.000    0.000    4.826    0.121 wrap_util.py:9(unary_f)
